Date,UserID,TicketID,Issue,Category,Status,Rating,Comments,SubscriptionType,PaymentStatus
2022-01-01,001,001,Cannot access software,Technical,Open,,,Premium,Paid
2022-01-02,,,,,,3,Software is difficult to use,, 
2022-01-05,002,002,Software is slow,Technical,Closed,,,Basic,Paid
2022-01-06,,,,,,4,Support staff was helpful,, 
2022-01-08,003,003,Cannot print reports,Technical,Open,,,Premium,Unpaid
2022-01-09,,,,,,2,Took too long to resolve issue,, 
2022-01-12,004,004,Feature X is missing,Technical,Closed, 5, Feature X is great,Premium,Paid
2022-01-15,005,005,Login issues,Technical,Closed,1,Cannot use software at all,Basic,Unpaid
2022-01-16,,,,,,3,Some features are missing, , 
2022-02-01,101,006,Cannot access account,Technical,Open,,,Premium,Paid
2022-02-03,,,,,,2,App keeps crashing,, 
2022-02-05,102,007,Billing issue,Billing,Closed,,,Basic,Paid
2022-02-08,,,,,,4,Excellent customer service,, 
2022-02-09,103,008,Cannot process payment,Billing,Open,,,Premium,Unpaid
2022-02-12,,,,,,3,Website is slow,, 
2022-02-14,104,009,Feature Y is not working,Technical,Closed,5,Love the new feature,Premium,Paid
2022-02-16,,,,,,1,Terrible experience,, 
2022-02-17,105,010,Cannot reset password,Technical,Open,,,Basic,Unpaid
2022-02-20,106,011,Unable to view reports,Technical,Open,,,Premium,Paid
2022-02-21,,,,,,4,Great software,, 
2022-02-23,107,012,Cannot upload files,Technical,Open,,,Basic,Paid
2022-02-25,108,013,Feature Z is missing,Technical,Closed,3,Would like to see this feature added,Premium,Paid
2022-02-27,,,,,,2,Difficult to navigate,, 
2022-02-28,109,014,Cannot access software,Technical,Open,,,Basic,Unpaid
2022-02-28,,,,,,5,Very satisfied with customer support,, 
2022-02-28,110,015,Cannot print documents,Technical,Open,,,Premium,Unpaid
